Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Experiment_Type,Parameter_Setting,CV Accuracy Mean,CV Accuracy Std
Logistic Regression,0.9386666666666666,0.9403973509933775,0.9826989619377162,0.961082910321489,0.9563048201496741,Final Comparison,Best tuned model,0.9432931995540692,0.014615311653971449
SVM,0.944,0.9527027027027027,0.9757785467128027,0.9641025641025641,0.9546149513156835,Final Comparison,Best tuned model,0.8985953177257524,0.016435168127785085
Decision Tree,0.9413333333333334,0.9717314487632509,0.9515570934256056,0.9615384615384616,0.9429870443389394,Final Comparison,Best tuned model,0.9573154960981048,0.017546365024841283
Random Forest,0.9253333333333333,0.9250814332247557,0.9826989619377162,0.9530201342281879,0.9502695743139937,Final Comparison,Best tuned model,0.9392865105908585,0.007774210542467003
